number of inputs, runtime (in ms)
312501, 576.9970000000058
313001, 612.3780000000068
313501, 554.9919999999986
314001, 573.9260000000002
314501, 626.5109999999936
315001, 574.8230000000092
315501, 571.8310000000031
316001, 587.6529999999889
316501, 627.57000000002
317001, 576.2079999999798
317501, 633.7699999999984
318001, 589.6779999999922
318501, 577.9159999999877
319001, 603.2160000000033
319501, 640.593999999993
320001, 614.9580000000014
320501, 591.8649999999843
321001, 594.1690000000222
321501, 596.4449999999886
322001, 580.4339999999968
322501, 578.1869999999856
323001, 594.2479999999932
323501, 601.8290000000093
324001, 617.873000000003
324501, 647.814000000011
325001, 613.7180000000058
325501, 660.9909999999957
326001, 589.336000000003
326501, 671.4049999999929
327001, 583.0030000000193
327501, 584.0440000000058
328001, 621.7330000000061
328501, 598.7889999999823
329001, 595.2920000000006
329501, 608.0450000000042
330001, 587.0180000000005
330501, 591.5689999999927
331001, 642.8160000000105
331501, 621.0370000000012
332001, 600.3000000000043
332501, 605.2999999999997
333001, 584.0149999999937
333501, 646.9359999999824
334001, 599.1449999999929
334501, 603.9760000000172
335001, 614.4499999999766
335501, 602.642000000003
336001, 598.3559999999954
336501, 619.244000000009
337001, 665.5689999999765
337501, 602.97300000002
338001, 595.9079999999801
338501, 600.876999999997
339001, 608.1530000000157
339501, 624.2680000000007
340001, 669.2170000000033
340501, 636.3369999999975
341001, 616.2259999999833
341501, 631.1370000000238
342001, 650.7609999999886
342501, 616.8530000000203
343001, 645.6269999999904
343501, 621.514999999988
344001, 603.9810000000045
344501, 613.8030000000185
345001, 652.464000000009
345501, 640.8770000000175
346001, 609.3720000000076
346501, 599.8649999999941
347001, 633.6450000000013
347501, 637.9200000000083
348001, 725.6419999999935
348501, 707.0139999999867
349001, 696.5909999999838
349501, 626.2380000000007
350001, 672.6519999999994
350501, 653.8309999999967
351001, 624.8620000000074
